Question,Option A,Option B,Option C,Option D,Correct Answer,,
"What is the theme of ""El Kenz""?",History,Love,Power,All of the above,All of the above,,
"Who played the role of a mentally ill girl in ""Youm El Sadat""?",Mona Zaki,Nelly Karim,Bushra,Hanan Turk,Hanan Turk,,
Which Egyptian actor has portrayed both Nasser and Sadat?,Ahmed Zaki,Khaled El Sawy,Yehia El Fakharany,Mohamed Ramadan,Ahmed Zaki,,
Which film is centered on the October War?,The Road to Eilat,El Gezira,The Other,678,The Road to Eilat,,
"Which actor starred in ""The Road to Eilat""?",Ezzat El Alaili,Khaled Saleh,Ahmed El Sakka,Mohamed Saad,Ezzat El Alaili,,
Which film features a terrorist threat on a school?,Terrorism and Kebab,The Terrorist,The Bus,Excuse My French,The Bus,,
"Who starred in ""Terrorism and Kebab""?",Adel Imam,Mohamed Henedy,Ahmed Helmy,Khaled El Sawy,Adel Imam,,
"Which actress played in ""Terrorism and Kebab""?",Youssra,Laila Elwi,Mervat Amin,Nelly,Youssra,,
"What is the main setting of ""Terrorism and Kebab""?",Court,Housing Office,Mogammaa,School,Mogammaa,,
"Which actor starred in the historical film ""The Emigrant""?",Khaled El Nabawy,Ahmed Zaki,Karim Abdel Aziz,Amr Waked,Khaled El Nabawy,,
Which film faced controversy for its biblical themes?,The Other,The Emigrant,Yomeddine,Clash,The Emigrant,,
"Who directed ""The Emigrant""?",Youssef Chahine,Daoud Abdel Sayed,Marwan Hamed,Amr Salama,Youssef Chahine,,
"What genre is ""Destiny"" by Youssef Chahine?",Romance,Historical,Musical,Political,Historical,,
"Which actor starred in ""Destiny""?",Nour El Sherif,Khaled El Nabawy,Ahmed Zaki,Amr Waked,Nour El Sherif,,
What is the name of Youssef Chahine’s autobiographical film?,Alexandria… Why?,Cairo Story,My Life,Hepta,Alexandria… Why?,,
Which film is the first of Chahine’s Alexandria Trilogy?,Alexandria… Why?,Alexandria Again and Forever,Alexandria New York,Cairo Station,Alexandria… Why?,,
"Who played a boxer in ""Ibrahim Labyad""?",Ahmed El Sakka,Amr Waked,Ahmed Mekky,Karim Abdel Aziz,Ahmed El Sakka,,
"Who starred as a gangster in ""Ibrahim Labyad""?",Mahmoud Abdel Aziz,Ahmed Helmy,Karim Abdel Aziz,Ahmed Zaki,Mahmoud Abdel Aziz,,
"What is the genre of ""Ibrahim Labyad""?",Comedy,Action,Horror,Musical,Action,,
"Who directed ""Ibrahim Labyad""?",Marwan Hamed,Amr Arafa,Sherif Arafa,Khaled Marei,Marwan Hamed,,
"Which actress starred opposite Ahmed El Sakka in ""Tito""?",Hanan Turk,Nelly Karim,Menna Shalaby,Hend Sabry,Hanan Turk,,
"Who played the child thief in ""Tito""?",Ahmed El Sakka,Mohamed Emam,Karim Abdel Aziz,Ahmed Ezz,Ahmed El Sakka,,
Which director worked frequently with Ahmed Helmy?,Khaled Marei,Marwan Hamed,Tarek El Eryan,Youssef Chahine,Khaled Marei,,
"What genre best describes ""Keda Reda""?",Romantic,Thriller,Comedy,Action,Comedy,,
"Which actor appeared in both ""Hepta"" and ""Excuse My French""?",Maged El Kedwany,Amr Youssef,Yasmine Raeis,Khaled Abol Naga,Maged El Kedwany,,
Which film features a musical performance by street artists?,Microphone,678,The Island,Asmaa,Microphone,,
"What year was ""Microphone"" released?",2009,2010,2011,2012,2010,,
"Who starred in the movie ""Asmaa""?",Hend Sabry,Nelly Karim,Bushra,Laila Elwi,Hend Sabry,,
Which Egyptian movie was screened at Cannes?,Yomeddine,Clash,Hepta,El Gezira,Yomeddine,,
"Which actor is famous for the series ""El Kebeer Awi""?",Ahmed Mekky,Ahmed Helmy,Amr Youssef,Mohamed Ramadan,Ahmed Mekky,,
"Who played the mother in ""El Kebeer Awi""?",Donia Samir Ghanem,Hend Sabry,Menna Shalaby,Laila Elwi,Donia Samir Ghanem,,
Which film combines time travel and Egyptian mythology?,El Kenz,The Blue Elephant 2,Teer Enta,Yomeddine,El Kenz,,
"Who directed the dark comedy ""Farsh w Ghata""?",Ahmed Abdalla,Amr Salama,Marwan Hamed,Mohamed Diab,Ahmed Abdalla,,
"Which actor starred in ""Farsh w Ghata""?",Asser Yassin,Mohamed Mamdouh,Karim Kassem,Ahmed Malek,Asser Yassin,,
"What is the main theme of ""Farsh w Ghata""?",Justice,Prison Escape,Love,Politics,Prison Escape,,
"Which actress appeared in both ""678"" and ""Asmaa""?",Hend Sabry,Bushra,Nelly Karim,Menna Shalaby,Hend Sabry,,
Which film centers on the struggles of street kids?,Heena Maysara,678,Clash,Excuse My French,Heena Maysara,,
"What year was ""Hepta"" released?",2014,2015,2016,2017,2016,,
"Who played the old man in ""Hepta""?",Maged El Kedwany,Abdelrahman Abou Zahra,Khaled El Nabawy,Yehia El Fakharany,Yehia El Fakharany,,
"Which film’s title translates to ""Upside Down""?",Talet Talat,Keda Reda,El Watar,Ma’lab Haram,Talet Talat,,
Which movie involves a psychiatrist and hallucinations?,The Blue Elephant,Hepta,Excuse My French,El Watar,The Blue Elephant,,
Which actor frequently plays in horror or psychological films?,Khaled El Sawy,Ahmed Helmy,Ahmed Eid,Mohamed Henedy,Khaled El Sawy,,
"What’s the title of the sequel to ""Welad Rizk""?",Welad Rizk 2,Rizk Returns,The Brothers 2,Back to the Streets,Welad Rizk 2,,
What is the most common theme in modern Egyptian cinema?,Politics,Family,Love,Social issues,Social issues,,
Which actor is famous for combining rap and acting?,Mohamed Ramadan,Ahmed Mekky,Mohamed Henedy,Tamer Hosny,Ahmed Mekky,,
Which actress starred in both drama and comedy?,Donia Samir Ghanem,Hend Sabry,Yasmine Raeis,Nelly Karim,Nelly Karim,,
Who won the FIFA World Cup in 2018?,Germany,Brazil,France,Croatia,France,,
Which club has won the most UEFA Champions League titles?,Manchester United,AC Milan,Real Madrid,Barcelona,Real Madrid,,
"Who is known as ""El Fenómeno""?",Messi,Zidane,Ronaldo (Brazil),Ronaldinho,Ronaldo (Brazil),,
Which country hosted the 2014 FIFA World Cup?,Spain,Germany,Brazil,Italy,Brazil,,
Who won the Ballon d'Or in 2021?,Cristiano Ronaldo,Luka Modrić,Robert Lewandowski,Lionel Messi,Lionel Messi,,
Which African nation reached the World Cup semi-finals in 2022?,Nigeria,Senegal,Morocco,Cameroon,Morocco,,
Who is Liverpool’s all-time top scorer?,Kenny Dalglish,Robbie Fowler,Steven Gerrard,Ian Rush,Ian Rush,,
Which club did Cristiano Ronaldo join after leaving Real Madrid?,Manchester City,Juventus,PSG,Arsenal,Juventus,,
Which country has won the most AFCON titles?,Egypt,Cameroon,Nigeria,South Africa,Egypt,,
"Who scored the ""Hand of God"" goal?",Messi,Pelé,Maradona,Zidane,Maradona,,
"Which club is nicknamed ""The Red Devils""?",Liverpool,AC Milan,Manchester United,Bayern Munich,Manchester United,,
What is the maximum number of players per team on the pitch?,9,10,11,12,11,,
Which English club has the most Premier League titles?,Arsenal,Chelsea,Liverpool,Manchester United,Manchester United,,
Who won the 2006 FIFA World Cup?,Italy,France,Germany,Brazil,Italy,,
Which team did Lionel Messi join in 2023?,Barcelona,Inter Miami,PSG,Newell's Old Boys,Inter Miami,,
Which stadium is home to Barcelona?,Santiago Bernabéu,Camp Nou,Old Trafford,Anfield,Camp Nou,,
Who was the top scorer in the 2022 World Cup?,Mbappé,Messi,Ronaldo,Olivier Giroud,Mbappé,,
Which country has never qualified for the World Cup?,India,Qatar,Iceland,South Korea,India,,
Which German club has the most Bundesliga titles?,Borussia Dortmund,Bayern Munich,Schalke 04,Leverkusen,Bayern Munich,,
Who is the youngest player to score in a World Cup?,Pele,Messi,Ronaldo,Kylian Mbappé,Pele,,
Which team won UEFA Euro 2020?,Italy,England,Spain,France,Italy,,
Who won the Golden Boot in the 2018 World Cup?,Messi,Ronaldo,Harry Kane,Griezmann,Harry Kane,,
"Who is known as ""Captain Tsubasa"" in football anime?",Iniesta,Neymar,Tsubasa Ozora,Shinji Kagawa,Tsubasa Ozora,,
What country does Mohamed Salah represent?,Algeria,Morocco,Egypt,Tunisia,Egypt,,
Which team is nicknamed “The Pharaohs”?,Senegal,Egypt,Nigeria,Morocco,Egypt,,
Who won the Copa América in 2021?,Brazil,Argentina,Chile,Uruguay,Argentina,,
What is the name of Real Madrid's stadium?,Camp Nou,San Siro,Santiago Bernabéu,Allianz Arena,Santiago Bernabéu,,
Who won the first-ever World Cup in 1930?,Germany,Brazil,Uruguay,Italy,Uruguay,,
Which team did Zinedine Zidane play for in 2006?,Barcelona,Real Madrid,France,Juventus,France,,
Which African player won the Ballon d’Or in 1995?,Samuel Eto'o,George Weah,Didier Drogba,Yaya Touré,George Weah,,
Which country hosted the 2002 FIFA World Cup?,Japan,South Korea,Japan & South Korea,China,Japan & South Korea,,
Which club does Erling Haaland play for (as of 2024)?,Barcelona,Bayern Munich,Manchester City,PSG,Manchester City,,
Which color card means a player is sent off?,Blue,Green,Yellow,Red,Red,,
Which is the most successful club in Egypt?,Pyramids,Al Ahly,Zamalek,Ismaily,Al Ahly,,
Which team won the UEFA Champions League in 2023?,Man City,Real Madrid,Liverpool,Bayern Munich,Man City,,
Who is the top scorer in World Cup history?,Pele,Klose,Ronaldo (Brazil),Mbappé,Klose,,
Which country is famous for the “Tiki-Taka” style?,Germany,France,Spain,Argentina,Spain,,
Which position wears the number 1 jersey?,Striker,Midfielder,Defender,Goalkeeper,Goalkeeper,,
Which African country hosted the 2010 World Cup?,Morocco,Nigeria,South Africa,Egypt,South Africa,,
"Which national team is known as ""Les Bleus""?",Germany,Belgium,Italy,France,France,,
What does VAR stand for?,Video Automatic Replay,Virtual Assistant Referee,Video Assistant Referee,Verified Active Replay,Video Assistant Referee,,
Who won Euro 2004?,Spain,France,Greece,Portugal,Greece,,
"Which club is associated with ""You'll Never Walk Alone""?",Chelsea,Man City,Barcelona,Liverpool,Liverpool,,
Who is Portugal’s all-time top scorer?,Rui Costa,Luis Figo,Eusébio,Cristiano Ronaldo,Cristiano Ronaldo,,
Which country won back-to-back World Cups in 1934 and 1938?,Brazil,Uruguay,Italy,Germany,Italy,,
"Who is known as ""The Egyptian King""?",Aboutrika,Mo Salah,Ahmed Hegazi,Shikabala,Mo Salah,,
Which footballer was called “The Flea”?,Ronaldinho,Messi,Modric,Suarez,Messi,,
Which World Cup was hosted in winter?,2018,2022,2006,2010,2022,,
Who is Argentina's all-time top scorer?,Batistuta,Messi,Aguero,Maradona,Messi,,
What’s the name of AC Milan’s stadium?,San Siro,Stadio Olimpico,San Paolo,Allianz Stadium,San Siro,,
Which African player played for Chelsea & Galatasaray?,Mohamed Salah,Didier Drogba,Obi Mikel,Yaya Touré,Didier Drogba,,
Who won the 1998 FIFA World Cup?,Brazil,France,Italy,Germany,France,,
Which country is Luka Modric from?,Serbia,Croatia,Bosnia,Slovenia,Croatia,,
Who scored a hat trick in the 2022 World Cup final?,Messi,Griezmann,Mbappé,Álvarez,Mbappé,,
Which English club has a cannon in its logo?,Chelsea,Tottenham,Liverpool,Arsenal,Arsenal,,
Who is Bayern Munich’s top all-time scorer?,Gerd Müller,Lewandowski,Ribery,Klose,Gerd Müller,,
Who won AFCON 2019?,Nigeria,Senegal,Algeria,Egypt,Algeria,,
Which team has won the most La Liga titles?,Barcelona,Valencia,Real Madrid,Atletico Madrid,Real Madrid,,
Which footballer has the most international goals?,Pele,Ronaldo (Brazil),Ali Daei,Cristiano Ronaldo,Cristiano Ronaldo,,
Which country’s team is called the “Three Lions”?,Scotland,France,England,Ireland,England,,
What is the minimum number of players a team needs to continue a match?,8,9,10,7,7,,
Which club did Ronaldinho play for in Spain?,Atletico Madrid,Barcelona,Real Madrid,Sevilla,Barcelona,,
"Which stadium is known as ""The Theatre of Dreams""?",Wembley,Camp Nou,Old Trafford,Etihad,Old Trafford,,
What is the name of the main Egyptian Premier League?,Elite League,Nile League,Cairo League,Egyptian Premier League,Egyptian Premier League,,
Who wears jersey number 10 for Argentina (2022)?,Di María,Álvarez,Messi,Otamendi,Messi,,
Which club has won the most Serie A titles?,AC Milan,Juventus,Inter,Roma,Juventus,,
Who is known for the quote “Football is a simple game…”?,Cruyff,Beckenbauer,Pelé,Gary Lineker,Gary Lineker,,
Which country invented football?,Brazil,Germany,China,England,England,,
Who won the 2010 World Cup?,Spain,Netherlands,Germany,Argentina,Spain,,
Which goalkeeper won the 2006 World Cup?,Buffon,Neuer,Casillas,Kahn,Buffon,,
Which African team eliminated Germany in 2022?,Senegal,Ghana,Morocco,No team,No team,,
Who scored the winning goal in 2010 World Cup Final?,Xavi,Iniesta,Piqué,Villa,Iniesta,,
Which footballer played for both Inter and AC Milan?,Totti,Shevchenko,Zlatan Ibrahimović,Maldini,Zlatan Ibrahimović,,
What is the main color of the Brazil national team?,Blue,Red,Yellow,Green,Yellow,,
Which team uses the slogan “Més que un club”?,Barcelona,Real Madrid,PSG,Juventus,Barcelona,,
Who is the only player to win 3 World Cups?,Pele,Maradona,Cafu,Ronaldo,Pele,,
Who was the top scorer in the 2002 World Cup?,Ronaldinho,Pele,Mirolsav Klose,Ronaldo,Ronaldo,,
Which club plays at Stamford Bridge?,Liverpool,Chelsea,Arsenal,Tottenham,Chelsea,,
Who is the all-time top scorer for Egypt?,Mo Salah,Zaki,Aboutrika,Hossam Hassan,Hossam Hassan,,
Which country is famous for producing great goalkeepers?,Brazil,Italy,Germany,France,Germany,,
What is the duration of a football match?,80 minutes,90 minutes,75 minutes,100 minutes,90 minutes,,
What happens after a draw in knockout stages?,Replay,Golden Goal,Coin Toss,Penalty Shootout,Penalty Shootout,,
Which footballer is nicknamed “CR7”?,Cristiano Ronaldo,Carlos Tevez,Romelu Lukaku,Casemiro,Cristiano Ronaldo,,
Which team won the FIFA World Cup in 2002?,Germany,Brazil,Italy,France,Brazil,,
Who is the youngest Ballon d'Or winner?,Ronaldo (Brazil),Owen,Messi,George Best,Ronaldo (Brazil),,
What club does Karim Benzema play for as of 2024?,Al-Ittihad,Real Madrid,Lyon,Man United,Al-Ittihad,,
Who coached Spain to the 2010 World Cup?,Del Bosque,Luis Enrique,Lopetegui,Xavi,Del Bosque,,
Which player missed a penalty in the 2006 final?,Henry,Zidane,Trezeguet,Vieira,Trezeguet,,
What is the name of Egypt’s top derby?,Cairo Derby,Nile Clash,Delta Derby,Red-White Clash,Cairo Derby,,
Which year did Al Ahly win their 10th CAF Champions League title?,2018,2020,2021,2022,2021,,
"Which Italian club is known as ""The Old Lady""?",AC Milan,Napoli,Roma,Juventus,Juventus,,
Which African legend captained Cameroon in 1990?,Roger Milla,Eto'o,Song,Omam-Biyik,Roger Milla,,
Who won the Golden Glove in the 2022 World Cup?,Lloris,Martínez,Alisson,Bono,Martínez,,
Which club did Didier Drogba play for in MLS?,Toronto FC,NY Red Bulls,Montreal Impact,LA Galaxy,Montreal Impact,,
What year did Messi make his Barcelona debut?,2003,2004,2005,2006,2004,,
Which European club has a chicken in its logo?,Tottenham,Chelsea,Lyon,Ajax,Tottenham,,
What club plays at the Allianz Arena?,Juventus,Man City,PSG,Bayern Munich,Bayern Munich,,
Which nation did Zambrotta represent?,Germany,Spain,Italy,Belgium,Italy,,
Who won the UEFA Super Cup in 2022?,Liverpool,Man City,Real Madrid,Eintracht Frankfurt,Real Madrid,,
Which player was famous for the “Panenka” penalty?,Zidane,Panenka,Messi,Xavi,Panenka,,
Which World Cup final ended in penalties?,2010,2006,1998,2014,2006,,
Who was Chelsea’s manager in 2012 UCL Final?,Mourinho,Di Matteo,Hiddink,Ancelotti,Di Matteo,,
Which African team beat Italy in 1994 World Cup?,Nigeria,Cameroon,Morocco,Egypt,Nigeria,,
Who scored a famous volley in UCL 2002 Final?,Raúl,Figo,Zidane,Roberto Carlos,Zidane,,
"Which club is associated with the phrase ""Hala Madrid""?",Barcelona,Real Madrid,Atletico Madrid,Sevilla,Real Madrid,,
What is the nickname of the Dutch national team?,Red Lions,Oranje,The Blues,The Eagles,Oranje,,
Which club did Thierry Henry play for in MLS?,LA Galaxy,DC United,New York Red Bulls,Seattle Sounders,New York Red Bulls,,
Which Egyptian club has white kits with red stripes?,Al Ahly,Ismaily,Zamalek,El Gaish,Zamalek,,
Who won the UEFA Euro 2016?,Portugal,France,Spain,Germany,Portugal,,
Which English manager won the Premier League in 1995?,Alex Ferguson,Kevin Keegan,Sam Allardyce,Kenny Dalglish,Kenny Dalglish,,
Who was the first African to play in Serie A?,Abedi Pele,Roger Milla,George Weah,Rabah Madjer,Rabah Madjer,,
Which team did Ronaldo (Brazil) score against in 2002 final?,Germany,France,Italy,Argentina,Germany,,
Who was Barcelona’s captain before Messi?,Puyol,Xavi,Iniesta,Valdés,Puyol,,
Which footballer was also a senator in Liberia?,George Weah,Eto’o,Drogba,Essien,George Weah,,
Who won the 1994 FIFA World Cup?,Italy,Brazil,Argentina,Germany,Brazil,,
Which team won the 2022 CAF Champions League?,Zamalek,Al Ahly,Wydad,Raja,Wydad,,
Which Egyptian club is based in Ismailia?,Zamalek,Al Ahly,Ismaily,Smouha,Ismaily,,
Which nation did Abedi Pele represent?,Ghana,Nigeria,Senegal,South Africa,Ghana,,
Which UCL final was played at Wembley in 2013?,Chelsea vs Bayern,Dortmund vs Bayern,Real vs Atleti,PSG vs Bayern,Dortmund vs Bayern,,
Who was the first goalkeeper to win Ballon d'Or?,Neuer,Buffon,Yashin,Kahn,Yashin,,
Which Portuguese club did Figo start at?,Porto,Sporting,Braga,Benfica,Sporting,,
Which English team went unbeaten in 2003–04?,Chelsea,Liverpool,Manchester United,Arsenal,Arsenal,,
Which team did Modric win UCL with?,Tottenham,Barcelona,Chelsea,Real Madrid,Real Madrid,,
What is the nickname of Germany's national team?,La Roja,Die Mannschaft,Les Bleus,Seleção,Die Mannschaft,,
Who scored England’s only goal in 2018 WC semi?,Kane,Dier,Trippier,Sterling,Trippier,,
Which footballer has a statue in Madeira?,Pele,Zidane,Cristiano Ronaldo,Figo,Cristiano Ronaldo,,
"Which Argentine club is nicknamed ""Los Millonarios""?",Boca Juniors,River Plate,San Lorenzo,Racing Club,River Plate,,
What is FIFA short for?,Football Is Fun Again,Federation Internationale de Football Association,Federation for International Football Action,Federal Institute of Football Affairs,Federation Internationale de Football Association,,
Who is Nigeria’s top all-time goal scorer?,Obafemi Martins,Yekini,Kanu,Amokachi,Yekini,,
Which goalkeeper saved 3 penalties in UCL 2022 final?,Courtois,Mendy,Kepa,No one,Courtois,,
Who scored the fastest World Cup goal?,Pele,Hakan Şükür,Messi,Ronaldo,Hakan Şükür,,
Which Egyptian player played for AS Roma?,Zaki,Elneny,Salah,Hassan,Salah,,
What is the nickname of the Argentina national team?,The Blues,The Stripes,La Albiceleste,The White Eagles,La Albiceleste,,
Which country hosted Euro 1996?,France,Germany,England,Italy,England,,
Who was the top scorer in Serie A 2022?,Lautaro,Osimhen,Vlahović,Immobile,Osimhen,,
Which French player scored in 1998 WC Final?,Zidane,Henry,Pirès,Desailly,Zidane,,
Which club won the first ever UCL title?,Barcelona,Real Madrid,Benfica,AC Milan,Real Madrid,,
Which World Cup had the most goals?,1998,2014,2022,2002,2022,,
Which player captained Italy in 2006?,Buffon,Maldini,Del Piero,Cannavaro,Cannavaro,,
Which famous coach never won UCL?,Klopp,Guardiola,Simeone,Mourinho,Simeone,,
Who won UEFA Nations League 2021?,France,Spain,Germany,Italy,France,,
Which Asian team beat Germany in 2018?,Japan,South Korea,Qatar,Saudi Arabia,South Korea,,
Who is Africa’s most expensive player ever?,Zaha,Osimhen,Salah,Mahrez,Osimhen,,
Which stadium hosts El Clasico?,Camp Nou,Santiago Bernabéu,Both,Old Trafford,Both,,
What was Maradona’s jersey number?,7,8,10,11,10,,
Which club plays in Paris?,PSG,Lyon,Marseille,Lille,PSG,,
Which Egyptian scored vs Russia in 2018?,Trezeguet,Sobhi,Mohamed Salah,Hegazy,Mohamed Salah,,
Who scored the winner in UCL 2014 Final?,Modric,Bale,Marcelo,Ramos,Ramos,,
"Which nation has the nickname ""Seleção""?",Portugal,Brazil,Spain,Italy,Brazil,,
Who wore number 7 for Portugal before Ronaldo?,Figo,Eusébio,Rui Costa,Nani,Figo,,
Which country was World Cup runner-up 3 times?,Germany,Argentina,Netherlands,Croatia,Netherlands,,
Which African country hosted AFCON 2021?,Gabon,Egypt,Cameroon,Morocco,Cameroon,,
Who won the FIFA World Cup in 1966?,Brazil,France,England,Germany,England,,
Which club has the most UEFA Europa League titles?,Sevilla,Juventus,Man United,Inter Milan,Sevilla,,
Which goalkeeper has the most clean sheets in UCL?,Neuer,Casillas,Buffon,Čech,Casillas,,
What is the nickname of the Brazil national team?,The Blues,Canarinho,Los Cafeteros,La Roja,Canarinho,,
Who won the Golden Boot at Euro 2020?,Ronaldo,Kane,Lukaku,Schick,Ronaldo,,
Which club did Salah play for before joining Roma?,Chelsea,Basel,Fiorentina,Liverpool,Fiorentina,,
Who scored the winning goal in 2010 WC final?,Iniesta,Villa,Torres,Xavi,Iniesta,,
Which team was relegated from EPL in 2023?,Leeds,Everton,Arsenal,Liverpool,Leeds,,
Which African team reached WC quarterfinals in 2002?,Nigeria,South Africa,Senegal,Cameroon,Senegal,,
What is the name of Real Madrid’s stadium?,Camp Nou,Wanda Metropolitano,Santiago Bernabéu,Estadio Da Luz,Santiago Bernabéu,,
Which player has the most UCL goals?,Messi,Neymar,CR7,Benzema,CR7,,
Who managed Man City in 2010?,Guardiola,Mancini,Hughes,Pellegrini,Mancini,,
Who won AFCON 2015?,Nigeria,Ivory Coast,Egypt,Ghana,Ivory Coast,,
Which Croatian played for both Real and Barca?,Rakitić,Modrić,Kovačić,Prosinečki,Prosinečki,,
Which German club has yellow and black kits?,Leipzig,Wolfsburg,Bayern,Dortmund,Dortmund,,
Who scored a hat-trick in 2022 WC Final?,Messi,Giroud,Mbappé,Griezmann,Mbappé,,
What is the oldest football club in the world?,Liverpool,Sheffield FC,Arsenal,Notts County,Sheffield FC,,
Which African striker played for Chelsea & Galatasaray?,Mido,Eto'o,Drogba,Oba Martins,Drogba,,
Who won the first ever AFCON?,Ghana,Egypt,Sudan,Ethiopia,Egypt,,
"Which player scored the ""Hand of God"" goal?",Messi,Maradona,Zidane,Ronaldo,Maradona,,
Who hosted the 2002 World Cup?,South Korea & Japan,Qatar,Germany,Brazil,South Korea & Japan,,
Which year did PSG reach their first UCL final?,2020,2019,2021,2018,2020,,
Which Brazilian scored in 3 World Cup finals?,Pele,Ronaldo,Neymar,Rivaldo,Pele,,
What’s the capacity of Camp Nou?,90k,80k,99k,100k,99k,,
Which Spanish club has a bat in its logo?,Real Sociedad,Valencia,Sevilla,Villarreal,Valencia,,
Who wore number 10 for Italy in 2006?,Pirlo,Totti,Del Piero,Gattuso,Totti,,
Which manager won UCL with 2 clubs?,Zidane,Mourinho,Guardiola,Ferguson,Mourinho,,
Who scored for Croatia in 2018 WC final?,Mandžukić,Modrić,Perišić,Rebić,Perišić,,
Which Premier League team plays at Anfield?,Man City,Man United,Liverpool,Arsenal,Liverpool,,
What was the 1998 World Cup mascot?,Footix,Zabivaka,Fuleco,Pille,Footix,,
"Which footballer is known as ""El Fenómeno""?",Messi,Ronaldo (Brazil),Ronaldinho,Kaká,Ronaldo (Brazil),,
Who captained Argentina in 2022?,Di María,Otamendi,Messi,Martínez,Messi,,
Which African country did Jay-Jay Okocha represent?,Cameroon,Nigeria,Ghana,Ivory Coast,Nigeria,,
Which World Cup was first to use VAR?,2014,2018,2022,2010,2018,,
Who scored the winning penalty in 2022 World Cup?,Mbappé,Messi,Montiel,Álvarez,Montiel,,
What is the name of Morocco’s goalkeeper in 2022?,Bounou,Zemmamouche,El Shenawy,Tagnaouti,Bounou,,
"Which player is known for the ""Scorpion Kick""?",Ibrahimović,Higuita,Casillas,Buffon,Higuita,,
Which Italian team did Maradona play for?,Roma,Milan,Napoli,Inter,Napoli,,
What color are the Netherlands' home kits?,Red,Orange,Blue,White,Orange,,
Which club won the 2023 UCL?,Liverpool,Man City,Inter,Bayern,Man City,,
Which player scored 5 goals in one UCL game?,Lewandowski,Messi,Haaland,Adriano,Messi,,
What is the nickname of Ghana’s team?,The Lions,Black Stars,Eagles of Carthage,Desert Foxes,Black Stars,,
Who won the 1992 Euro Championship?,Germany,France,Denmark,Spain,Denmark,,
Which country is famous for tiki-taka?,Brazil,Spain,Italy,Argentina,Spain,,
"Which Egyptian club is nicknamed ""The Red Devils""?",Al Masry,Ismaily,Zamalek,Al Ahly,Al Ahly,,
Which country hosted World Cup 1990?,USA,Italy,France,Argentina,Italy,,
"Who is known as ""The Pharaoh""?",Zidan,Elneny,Trezeguet,Salah,Salah,,
Who is the all-time top scorer in AFCON history?,Eto’o,Weah,Omam-Biyik,Mido,Eto’o,,
Which team won the first FIFA Women's World Cup?,USA,Norway,Germany,China,USA,,
What is the name of Italy’s football league?,Bundesliga,Serie A,La Liga,Ligue 1,Serie A,,
Which nation hosted AFCON 2019?,Morocco,Nigeria,South Africa,Egypt,Egypt,,
Who scored the famous “ghost goal” in 1966?,Geoff Hurst,Bobby Charlton,Lineker,Banks,Geoff Hurst,,
Which German striker scored 71 goals?,Klose,Müller,Podolski,Bierhoff,Klose,,
Which African country reached 2022 WC semifinal?,Senegal,Morocco,Ghana,Cameroon,Morocco,,
What color are Chelsea's home kits?,Red,Blue,White,Black,Blue,,
Who did France beat in 1998 WC final?,Brazil,Italy,Germany,Argentina,Brazil,,
What does UCL stand for?,United Club League,Union Cup League,UEFA Champions League,Universal Champions League,UEFA Champions League,,
What is the max number of subs in WC 2022?,3,4,5,6,5,,
Who was captain of Germany in 2014?,Neuer,Klose,Schweinsteiger,Lahm,Lahm,,
Which EPL club has a cannon in its logo?,Chelsea,Spurs,Arsenal,Everton,Arsenal,,
What nationality is Riyad Mahrez?,Moroccan,Algerian,Tunisian,Egyptian,Algerian,,
Who is the most capped player for Egypt?,Trezeguet,El Hadary,Ahmed Hassan,Salah,Ahmed Hassan,,
Which Argentine scored vs Nigeria in 2014?,Aguero,Higuaín,Di María,Messi,Messi,,
What is AC Milan’s main color?,Red & Black,Blue,Yellow,White,Red & Black,,
Which country did Modrić help to WC final?,Serbia,Bosnia,Croatia,Slovenia,Croatia,,
Who has won the most Grand Slam titles in men's tennis?,Federer,Nadal,Djokovic,Murray,Djokovic,,
Which Grand Slam is played on grass?,Australian Open,French Open,US Open,Wimbledon,Wimbledon,,
"Who is known as the ""King of Clay""?",Federer,Nadal,Djokovic,Thiem,Nadal,,
Which female player has the most Grand Slam titles?,Serena Williams,Steffi Graf,Martina Navratilova,Margaret Court,Margaret Court,,
Where is the Australian Open held?,Melbourne,Sydney,Perth,Canberra,Melbourne,,
Who was the first African American to win a Grand Slam?,Arthur Ashe,James Blake,Mal Washington,Serena Williams,Arthur Ashe,,
Which Grand Slam is played on clay?,Wimbledon,US Open,French Open,Australian Open,French Open,,
How many Grand Slam tournaments are there per year?,2,3,4,5,4,,
What is the name of the championship held in New York?,Australian Open,French Open,US Open,Wimbledon,US Open,,
Which country is Novak Djokovic from?,Croatia,Serbia,Slovakia,Montenegro,Serbia,,
What is the name of the main tennis court at Wimbledon?,Philippe Chatrier,Arthur Ashe,Rod Laver Centre,Centre Court,Centre Court,,
Who won Wimbledon 2022 men’s singles?,Nadal,Federer,Djokovic,Kyrgios,Djokovic,,
Which female player won 3 Grand Slams in 2023?,Sabalenka,Swiatek,Gauff,Osaka,Swiatek,,
What is the maximum score in a standard tennis game?,15,30,40,Game,Game,,
Which surface is the US Open played on?,Grass,Clay,Hard,Carpet,Hard,,
Who is Andy Murray’s coach?,Ivan Lendl,Boris Becker,Toni Nadal,Patrick Mouratoglou,Ivan Lendl,,
Who has won all 4 Grand Slams in one year?,Djokovic,Nadal,Laver,Sampras,Laver,,
Which country is Rafael Nadal from?,France,Spain,Argentina,Brazil,Spain,,
